Final Parameters:
a = 1.015109
b = -1.116106

Training History:
Iteration	NLL	ECE
1	0.444286	0.113553
2	0.444118	0.113626
3	0.443292	0.112832
4	0.442370	0.111989
5	0.441466	0.111678
6	0.440578	0.111689
7	0.439703	0.110644
8	0.438842	0.110780
9	0.437994	0.110079
10	0.437159	0.108916
11	0.436335	0.106673
12	0.435524	0.105276
13	0.434725	0.105346
14	0.433937	0.104961
15	0.433161	0.103597
16	0.432396	0.103148
17	0.431643	0.102097
18	0.430900	0.102003
19	0.430169	0.100961
20	0.429448	0.100436
21	0.428737	0.099681
22	0.428037	0.099518
23	0.427347	0.099244
24	0.426668	0.098114
25	0.425998	0.097243
26	0.425338	0.096809
27	0.424687	0.096187
28	0.424046	0.095158
29	0.423415	0.093539
30	0.422793	0.092682
31	0.422179	0.092038
32	0.421575	0.092436
33	0.420980	0.092021
34	0.420393	0.090956
35	0.419815	0.090075
36	0.419246	0.089096
37	0.418684	0.087976
38	0.418131	0.087954
39	0.417587	0.087564
40	0.417050	0.087600
41	0.416521	0.086307
42	0.416000	0.085608
43	0.415486	0.085242
44	0.414980	0.084537
45	0.414482	0.084201
46	0.413991	0.083826
47	0.413507	0.083906
48	0.413030	0.082695
49	0.412560	0.082407
50	0.412098	0.082769
51	0.411642	0.081488
52	0.411192	0.080732
53	0.410750	0.080741
54	0.410314	0.080588
55	0.409885	0.080331
56	0.409462	0.079068
57	0.409045	0.078216
58	0.408634	0.077252
59	0.408230	0.076993
60	0.407832	0.076902
61	0.407439	0.076548
62	0.407053	0.075748
63	0.406672	0.075504
64	0.406297	0.076107
65	0.405927	0.075053
66	0.405563	0.074315
67	0.405205	0.073608
68	0.404852	0.072905
69	0.404504	0.073310
70	0.404162	0.073217
71	0.403825	0.072828
72	0.403492	0.071071
73	0.403165	0.069773
74	0.402843	0.069466
75	0.402526	0.069754
76	0.402213	0.070033
77	0.401905	0.069809
78	0.401602	0.069200
79	0.401304	0.068383
80	0.401009	0.067593
81	0.400720	0.066671
82	0.400434	0.066964
83	0.400152	0.066123
84	0.399875	0.065862
85	0.399601	0.066081
86	0.399331	0.067066
87	0.399064	0.066567
88	0.398802	0.066294
89	0.398544	0.066302
90	0.398290	0.065125
91	0.398041	0.064734
92	0.397795	0.064927
93	0.397554	0.064595
94	0.397317	0.064773
95	0.397084	0.064826
96	0.396854	0.064225
97	0.396629	0.063421
98	0.396407	0.063043
99	0.396188	0.061930
100	0.395973	0.061891
101	0.395762	0.061659
102	0.395553	0.060360
103	0.395348	0.060352
104	0.395144	0.060303
105	0.394927	0.060397
106	0.394711	0.060806
107	0.394511	0.060413
108	0.394317	0.060611
109	0.394129	0.059916
110	0.393945	0.059250
111	0.393765	0.058738
112	0.393588	0.058845
113	0.393414	0.058915
114	0.393243	0.058674
115	0.393074	0.057811
116	0.392909	0.057574
117	0.392746	0.057607
118	0.392586	0.056698
119	0.392428	0.056313
120	0.392273	0.055845
121	0.392121	0.055597
122	0.391970	0.055279
123	0.391823	0.054464
124	0.391677	0.054777
125	0.391535	0.054723
126	0.391394	0.054888
127	0.391256	0.054427
128	0.391120	0.054776
129	0.390986	0.054501
130	0.390854	0.054088
131	0.390725	0.054091
132	0.390597	0.054628
133	0.390472	0.055234
134	0.390349	0.055215
135	0.390227	0.054785
136	0.390108	0.054368
137	0.389991	0.054014
138	0.389876	0.053459
139	0.389762	0.052899
140	0.389651	0.052479
141	0.389541	0.052168
142	0.389433	0.052227
143	0.389327	0.051775
144	0.389223	0.051063
145	0.389120	0.051351
146	0.389020	0.051450
147	0.388920	0.050956
148	0.388823	0.050216
149	0.388727	0.050314
150	0.388633	0.050591
151	0.388540	0.049846
152	0.388449	0.049240
153	0.388359	0.048842
154	0.388271	0.048873
155	0.388185	0.049169
156	0.388100	0.049522
157	0.388016	0.049488
158	0.387934	0.049200
159	0.387853	0.049217
160	0.387773	0.049734
161	0.387695	0.049868
162	0.387618	0.049326
163	0.387543	0.049501
164	0.387469	0.048754
165	0.387396	0.048016
166	0.387324	0.048693
167	0.387254	0.048177
168	0.387184	0.047801
169	0.387116	0.047679
170	0.387049	0.047769
171	0.386984	0.047949
172	0.386919	0.047056
173	0.386856	0.047237
174	0.386793	0.046568
175	0.386732	0.046844
176	0.386672	0.046897
177	0.386612	0.046749
178	0.386554	0.046372
179	0.386497	0.045940
180	0.386441	0.046145
181	0.386386	0.046122
182	0.386331	0.046086
183	0.386278	0.046086
184	0.386226	0.045405
185	0.386174	0.045460
186	0.386124	0.045892
187	0.386074	0.045301
188	0.386025	0.044975
189	0.385977	0.045729
190	0.385930	0.046421
191	0.385884	0.046989
192	0.385838	0.046778
193	0.385794	0.046846
194	0.385750	0.046039
195	0.385707	0.045874
196	0.385664	0.045857
197	0.385623	0.045786
198	0.385582	0.045543
199	0.385542	0.045360
