Final Parameters:
a = 0.585201
b = -0.969429

Training History:
Iteration	NLL	ECE
1	0.457471	0.120161
2	0.457046	0.119917
3	0.456266	0.119391
4	0.455294	0.118666
5	0.454194	0.117799
6	0.453021	0.116811
7	0.451821	0.115751
8	0.450620	0.114655
9	0.449437	0.113580
10	0.448277	0.112423
11	0.447144	0.111305
12	0.446039	0.110184
13	0.444962	0.109094
14	0.443910	0.108005
15	0.442884	0.106928
16	0.441884	0.105865
17	0.440907	0.104817
18	0.439954	0.103894
19	0.439023	0.102733
20	0.438115	0.101734
21	0.437229	0.100691
22	0.436363	0.099696
23	0.435518	0.098811
24	0.434692	0.097867
25	0.433885	0.096893
26	0.433098	0.096069
27	0.432328	0.095120
28	0.431576	0.094480
29	0.430841	0.093232
30	0.430123	0.092316
31	0.429422	0.091404
32	0.428736	0.090573
33	0.428065	0.090125
34	0.427410	0.088811
35	0.426769	0.087836
36	0.426143	0.086974
37	0.425530	0.086112
38	0.424932	0.085372
39	0.424346	0.085250
40	0.423773	0.083990
41	0.423213	0.083436
42	0.422665	0.082334
43	0.422129	0.081278
44	0.421604	0.080262
45	0.421091	0.080413
46	0.420589	0.079532
47	0.420098	0.078147
48	0.419618	0.077592
49	0.419147	0.077773
50	0.418687	0.077145
51	0.418237	0.076105
52	0.417796	0.075594
53	0.417365	0.074183
54	0.416943	0.073646
55	0.416529	0.073127
56	0.416125	0.072897
57	0.415729	0.072781
58	0.415341	0.072859
59	0.414961	0.071923
60	0.414590	0.071138
61	0.414226	0.070157
62	0.413870	0.069117
63	0.413521	0.068195
64	0.413180	0.068416
65	0.412845	0.067863
66	0.412518	0.067991
67	0.412197	0.067337
68	0.411883	0.066589
69	0.411575	0.066542
70	0.411274	0.066767
71	0.410979	0.065425
72	0.410690	0.064889
73	0.410407	0.064946
74	0.410129	0.066117
75	0.409858	0.065362
76	0.409592	0.062659
77	0.409331	0.062223
78	0.409076	0.062039
79	0.408826	0.061135
80	0.408581	0.061538
81	0.408341	0.060778
82	0.408105	0.060826
83	0.407875	0.061461
84	0.407649	0.061607
85	0.407428	0.062100
86	0.407212	0.061156
87	0.406999	0.060367
88	0.406791	0.060152
89	0.406587	0.058816
90	0.406388	0.058263
91	0.406192	0.059712
92	0.406000	0.059200
93	0.405812	0.057959
94	0.405628	0.058125
95	0.405448	0.056895
96	0.405271	0.057198
97	0.405097	0.056397
98	0.404928	0.057114
99	0.404761	0.055423
100	0.404598	0.055761
101	0.404438	0.055700
102	0.404282	0.056469
103	0.404128	0.056215
104	0.403978	0.056813
105	0.403830	0.056123
106	0.403686	0.056257
107	0.403544	0.055425
108	0.403405	0.054513
109	0.403269	0.054909
110	0.403136	0.055102
111	0.403005	0.054023
112	0.402877	0.053572
113	0.402751	0.052912
114	0.402628	0.053161
115	0.402507	0.053592
116	0.402389	0.053078
117	0.402273	0.053346
118	0.402160	0.052954
119	0.402048	0.052206
120	0.401939	0.051575
121	0.401832	0.051562
122	0.401727	0.051248
123	0.401624	0.051346
124	0.401524	0.051721
125	0.401425	0.052281
126	0.401328	0.052493
127	0.401233	0.053062
128	0.401140	0.053212
129	0.401049	0.054183
130	0.400959	0.052647
131	0.400871	0.052299
132	0.400786	0.051969
133	0.400701	0.051636
134	0.400619	0.051836
135	0.400538	0.051545
136	0.400458	0.050983
137	0.400381	0.050717
138	0.400304	0.049939
139	0.400230	0.049491
140	0.400156	0.049707
141	0.400084	0.049928
142	0.400014	0.050137
143	0.399945	0.050195
144	0.399877	0.050766
145	0.399811	0.051728
146	0.399746	0.051081
147	0.399682	0.050233
148	0.399619	0.049318
149	0.399558	0.049034
150	0.399498	0.048882
151	0.399439	0.048331
152	0.399381	0.048574
153	0.399325	0.048665
154	0.399269	0.049672
155	0.399215	0.049444
156	0.399161	0.048918
157	0.399109	0.048894
158	0.399058	0.048424
159	0.399008	0.048507
160	0.398958	0.048377
161	0.398910	0.048054
162	0.398863	0.049325
163	0.398816	0.049006
164	0.398771	0.049349
165	0.398726	0.049361
166	0.398682	0.049104
167	0.398639	0.048841
168	0.398596	0.048486
169	0.398555	0.047611
170	0.398514	0.047517
171	0.398474	0.047268
172	0.398435	0.047112
173	0.398397	0.047262
174	0.398359	0.047074
175	0.398323	0.047168
176	0.398287	0.047168
177	0.398251	0.047343
178	0.398217	0.047564
179	0.398183	0.047587
180	0.398150	0.048049
181	0.398117	0.047896
182	0.398085	0.047669
183	0.398054	0.047220
184	0.398024	0.047236
185	0.397994	0.047620
186	0.397964	0.047534
187	0.397935	0.048855
188	0.397907	0.048688
189	0.397880	0.048472
190	0.397852	0.048567
191	0.397826	0.048295
192	0.397800	0.048143
193	0.397774	0.047973
194	0.397749	0.047652
195	0.397725	0.047770
196	0.397700	0.048134
197	0.397677	0.047995
198	0.397654	0.048285
199	0.397631	0.047793
200	0.397609	0.047727
201	0.397587	0.048073
202	0.397566	0.047545
203	0.397545	0.047748
204	0.397524	0.047532
205	0.397504	0.047376
206	0.397484	0.047490
207	0.397465	0.047240
208	0.397446	0.047369
209	0.397427	0.047081
210	0.397409	0.047357
211	0.397391	0.046736
212	0.397374	0.046509
213	0.397356	0.046185
214	0.397339	0.045713
215	0.397323	0.045870
216	0.397307	0.045784
217	0.397291	0.045884
218	0.397275	0.046603
219	0.397260	0.046292
220	0.397245	0.046233
221	0.397230	0.046382
222	0.397216	0.046817
223	0.397202	0.046189
224	0.397188	0.046273
225	0.397175	0.046328
226	0.397161	0.046758
227	0.397148	0.045889
228	0.397136	0.045238
229	0.397123	0.045298
230	0.397111	0.045119
231	0.397099	0.045383
232	0.397087	0.045652
233	0.397075	0.045656
234	0.397064	0.045375
235	0.397053	0.045852
236	0.397042	0.046067
237	0.397031	0.045959
238	0.397021	0.045662
239	0.397011	0.045918
240	0.397001	0.045784
241	0.396991	0.045818
242	0.396981	0.045560
243	0.396972	0.045598
244	0.396962	0.045344
245	0.396953	0.045295
246	0.396944	0.045347
247	0.396936	0.045226
248	0.396927	0.045399
249	0.396919	0.045530
250	0.396910	0.045519
251	0.396902	0.045619
252	0.396894	0.045552
253	0.396887	0.045676
254	0.396879	0.045897
255	0.396871	0.045358
256	0.396864	0.045633
257	0.396857	0.045458
258	0.396850	0.045840
259	0.396843	0.046041
260	0.396836	0.046357
261	0.396830	0.046551
262	0.396823	0.046879
263	0.396817	0.046792
264	0.396811	0.046995
265	0.396804	0.047078
266	0.396799	0.046595
267	0.396793	0.046369
268	0.396787	0.046005
269	0.396781	0.046039
270	0.396776	0.046544
271	0.396770	0.046835
272	0.396765	0.046824
273	0.396760	0.045934
274	0.396755	0.046082
275	0.396750	0.045829
276	0.396745	0.045829
277	0.396740	0.045426
278	0.396735	0.044711
279	0.396730	0.044931
280	0.396726	0.044775
281	0.396721	0.044719
282	0.396717	0.044973
283	0.396713	0.045235
284	0.396708	0.045349
285	0.396704	0.045246
286	0.396700	0.045072
287	0.396696	0.044915
288	0.396692	0.045168
289	0.396689	0.045067
290	0.396685	0.045172
291	0.396681	0.045401
292	0.396678	0.045698
293	0.396674	0.045751
294	0.396671	0.045902
295	0.396667	0.045858
296	0.396664	0.046252
297	0.396661	0.046214
298	0.396658	0.046213
299	0.396655	0.046130
300	0.396652	0.045683
301	0.396649	0.045828
302	0.396646	0.046052
303	0.396643	0.046172
304	0.396640	0.046473
305	0.396637	0.046573
306	0.396635	0.046548
307	0.396632	0.046360
308	0.396630	0.046000
309	0.396627	0.046028
310	0.396625	0.045957
311	0.396622	0.045758
312	0.396620	0.046029
313	0.396617	0.045993
314	0.396615	0.046194
315	0.396613	0.045763
316	0.396611	0.045831
317	0.396608	0.046109
318	0.396606	0.045836
319	0.396604	0.045885
320	0.396602	0.045760
321	0.396600	0.045826
322	0.396598	0.045938
323	0.396596	0.045865
324	0.396595	0.045785
325	0.396593	0.045889
326	0.396591	0.045784
327	0.396589	0.045780
328	0.396587	0.045848
329	0.396586	0.045922
330	0.396584	0.045603
331	0.396582	0.045852
332	0.396581	0.045862
333	0.396579	0.045908
334	0.396578	0.046093
335	0.396576	0.045957
336	0.396575	0.045957
337	0.396573	0.045895
338	0.396572	0.046033
339	0.396570	0.046325
340	0.396569	0.046219
341	0.396568	0.046404
342	0.396566	0.046675
343	0.396565	0.046719
344	0.396564	0.046510
345	0.396563	0.046134
346	0.396561	0.046322
347	0.396560	0.046568
348	0.396559	0.046555
349	0.396558	0.046471
350	0.396557	0.046022
351	0.396556	0.046142
352	0.396555	0.046311
353	0.396554	0.046277
354	0.396553	0.046471
355	0.396552	0.046213
356	0.396551	0.046236
357	0.396550	0.045944
358	0.396549	0.045814
359	0.396548	0.046124
360	0.396547	0.046349
361	0.396546	0.046481
362	0.396545	0.046544
363	0.396544	0.046526
364	0.396543	0.046665
365	0.396543	0.046515
366	0.396542	0.046155
367	0.396541	0.046138
368	0.396540	0.046257
369	0.396539	0.046218
370	0.396539	0.046148
371	0.396538	0.046088
372	0.396537	0.045771
373	0.396536	0.045666
374	0.396536	0.045627
375	0.396535	0.045711
376	0.396534	0.045633
377	0.396534	0.045651
378	0.396533	0.045482
379	0.396533	0.045535
380	0.396532	0.045501
381	0.396531	0.045503
382	0.396531	0.045178
383	0.396530	0.045278
384	0.396530	0.045242
385	0.396529	0.045138
386	0.396528	0.044989
387	0.396528	0.044936
388	0.396527	0.044899
389	0.396527	0.044868
390	0.396526	0.044960
391	0.396526	0.045045
392	0.396525	0.045079
393	0.396525	0.045153
394	0.396524	0.045268
395	0.396524	0.045042
396	0.396524	0.044969
397	0.396523	0.044989
398	0.396523	0.044989
399	0.396522	0.045111
400	0.396522	0.045220
401	0.396521	0.045286
402	0.396521	0.045256
403	0.396521	0.045207
404	0.396520	0.045280
405	0.396520	0.045302
406	0.396520	0.045148
407	0.396519	0.045076
408	0.396519	0.045039
409	0.396519	0.044892
410	0.396518	0.044940
411	0.396518	0.044955
412	0.396518	0.044803
413	0.396517	0.044938
414	0.396517	0.045010
415	0.396517	0.044830
416	0.396516	0.044849
417	0.396516	0.044819
418	0.396516	0.044759
419	0.396515	0.044816
420	0.396515	0.044751
421	0.396515	0.044808
422	0.396515	0.044931
423	0.396514	0.045145
424	0.396514	0.045367
425	0.396514	0.045276
426	0.396514	0.045264
427	0.396513	0.045373
428	0.396513	0.045472
429	0.396513	0.045583
430	0.396513	0.045583
431	0.396513	0.045578
432	0.396512	0.045527
433	0.396512	0.045494
434	0.396512	0.045526
435	0.396512	0.045580
436	0.396512	0.045573
437	0.396511	0.045576
438	0.396511	0.045643
439	0.396511	0.045604
440	0.396511	0.045642
441	0.396511	0.045686
442	0.396510	0.045651
443	0.396510	0.045630
444	0.396510	0.045649
445	0.396510	0.045705
446	0.396510	0.045872
447	0.396510	0.045978
448	0.396509	0.046050
449	0.396509	0.045947
450	0.396509	0.045857
451	0.396509	0.045802
452	0.396509	0.045860
453	0.396509	0.045981
454	0.396509	0.045803
455	0.396508	0.045834
456	0.396508	0.045805
457	0.396508	0.045725
458	0.396508	0.045630
459	0.396508	0.045631
460	0.396508	0.045649
461	0.396508	0.045655
462	0.396508	0.045680
463	0.396507	0.045818
464	0.396507	0.045640
465	0.396507	0.045640
466	0.396507	0.045329
467	0.396507	0.045470
468	0.396507	0.045519
469	0.396507	0.045597
470	0.396507	0.045521
471	0.396507	0.045549
472	0.396506	0.045476
473	0.396506	0.045511
474	0.396506	0.045488
475	0.396506	0.045510
476	0.396506	0.045510
477	0.396506	0.045546
478	0.396506	0.045648
479	0.396506	0.045627
480	0.396506	0.045673
481	0.396506	0.045673
482	0.396506	0.045470
483	0.396506	0.045405
484	0.396506	0.045332
485	0.396505	0.045283
486	0.396505	0.045283
487	0.396505	0.045224
488	0.396505	0.045298
489	0.396505	0.045383
490	0.396505	0.045514
491	0.396505	0.045568
492	0.396505	0.045636
493	0.396505	0.045616
494	0.396505	0.045668
495	0.396505	0.045567
496	0.396505	0.045604
497	0.396505	0.045603
498	0.396505	0.045639
499	0.396504	0.045586
500	0.396504	0.045586
501	0.396504	0.045817
502	0.396504	0.045878
